INCIDENT_ID,DATA_YEAR,OFFENSE_TYPES,SUM_OFFENSE_RECORDS
79220,2001,Aggravated Assault,949
79221,2001,All Other Larceny,32
79222,2001,Animal Cruelty,0
79223,2001,Arson,89
79224,2001,Assisting or Promoting Prostitution,0
79225,2001,Betting/Wagering,0
79226,2001,Bribery,0
79227,2001,Burglary/Breaking & Entering,135
79228,2001,Counterfeiting/Forgery,5
79229,2001,Credit Card/Automated Teller Machine Fraud,1
79230,2001,Destruction/Damage/Vandalism of Property,3053
79231,2001,Drug Equipment Violations,5
79232,2001,Drug/Narcotic Violations,25
79233,2001,Embezzlement,1
79234,2001,Extortion/Blackmail,0
79235,2001,False Pretenses/Swindle/Confidence Game,6
79236,2001,Fondling,6
79237,2001,Hacking/Computer Invasion,0
79238,2001,"Human Trafficking, Commercial Sex Acts",0
79239,2001,Identity Theft,0
79240,2001,Impersonation,2
79241,2001,Incest,0
79242,2001,Intimidation,3599
79243,2001,Kidnapping/Abduction,4
79244,2001,Motor Vehicle Theft,7
79245,2001,Murder and Nonnegligent Manslaughter,10
79246,2001,Negligent Manslaughter,0
79247,2001,Not Specified,36
79248,2001,Pocket-picking,0
79249,2001,Pornography/Obscene Material,4
79250,2001,Prostitution,1
79251,2001,Purchasing Prostitution,0
79252,2001,Purse-snatching,1
79253,2001,Rape,5
79254,2001,Robbery,157
79255,2001,Sexual Assault With An Object,0
79256,2001,Shoplifting,7
79257,2001,Simple Assault,1809
79258,2001,Sodomy,4
79259,2001,Statutory Rape,0
79260,2001,Stolen Property Offenses,1
79261,2001,Theft From Building,19
79262,2001,Theft From Coin-Operated Machine or Device,0
79263,2001,Theft From Motor Vehicle,19
79264,2001,Theft of Motor Vehicle Parts or Accessories,7
79265,2001,Weapon Law Violations,17
79266,2001,Welfare Fraud,0
79267,2001,Wire Fraud,0
79268,2002,Aggravated Assault,805
79269,2002,All Other Larceny,44
79270,2002,Animal Cruelty,0
79271,2002,Arson,38
79272,2002,Assisting or Promoting Prostitution,0
79273,2002,Betting/Wagering,0
79274,2002,Bribery,0
79275,2002,Burglary/Breaking & Entering,128
79276,2002,Counterfeiting/Forgery,6
79277,2002,Credit Card/Automated Teller Machine Fraud,0
79278,2002,Destruction/Damage/Vandalism of Property,2353
79279,2002,Drug Equipment Violations,2
79280,2002,Drug/Narcotic Violations,26
79281,2002,Embezzlement,2
79282,2002,Extortion/Blackmail,0
79283,2002,False Pretenses/Swindle/Confidence Game,4
79284,2002,Fondling,3
79285,2002,Hacking/Computer Invasion,0
79286,2002,"Human Trafficking, Commercial Sex Acts",0
79287,2002,Identity Theft,0
79288,2002,Impersonation,1
79289,2002,Incest,0
79290,2002,Intimidation,2500
79291,2002,Kidnapping/Abduction,3
79292,2002,Motor Vehicle Theft,8
79293,2002,Murder and Nonnegligent Manslaughter,11
79294,2002,Negligent Manslaughter,0
79295,2002,Not Specified,28
79296,2002,Pocket-picking,0
79297,2002,Pornography/Obscene Material,1
79298,2002,Prostitution,2
79299,2002,Purchasing Prostitution,0
79300,2002,Purse-snatching,2
79301,2002,Rape,8
79302,2002,Robbery,132
79303,2002,Sexual Assault With An Object,1
79304,2002,Shoplifting,15
79305,2002,Simple Assault,1475
79306,2002,Sodomy,0
79307,2002,Statutory Rape,0
79308,2002,Stolen Property Offenses,3
79309,2002,Theft From Building,28
79310,2002,Theft From Coin-Operated Machine or Device,1
79311,2002,Theft From Motor Vehicle,23
79312,2002,Theft of Motor Vehicle Parts or Accessories,8
79313,2002,Weapon Law Violations,18
79314,2002,Welfare Fraud,0
79315,2002,Wire Fraud,0
79316,2003,Aggravated Assault,708
79317,2003,All Other Larceny,58
79318,2003,Animal Cruelty,0
79319,2003,Arson,35
79320,2003,Assisting or Promoting Prostitution,0
79321,2003,Betting/Wagering,0
79322,2003,Bribery,0
79323,2003,Burglary/Breaking & Entering,170
79324,2003,Counterfeiting/Forgery,8
79325,2003,Credit Card/Automated Teller Machine Fraud,2
79326,2003,Destruction/Damage/Vandalism of Property,2627
79327,2003,Drug Equipment Violations,1
79328,2003,Drug/Narcotic Violations,29
79329,2003,Embezzlement,1
79330,2003,Extortion/Blackmail,1
79331,2003,False Pretenses/Swindle/Confidence Game,18
79332,2003,Fondling,4
79333,2003,Hacking/Computer Invasion,0
79334,2003,"Human Trafficking, Commercial Sex Acts",0
79335,2003,Identity Theft,0
79336,2003,Impersonation,3
79337,2003,Incest,0
79338,2003,Intimidation,2282
79339,2003,Kidnapping/Abduction,4
79340,2003,Motor Vehicle Theft,15
79341,2003,Murder and Nonnegligent Manslaughter,13
79342,2003,Negligent Manslaughter,0
79343,2003,Not Specified,34
79344,2003,Pocket-picking,1
79345,2003,Pornography/Obscene Material,1
79346,2003,Prostitution,2
79347,2003,Purchasing Prostitution,0
79348,2003,Purse-snatching,0
79349,2003,Rape,6
79350,2003,Robbery,110
79351,2003,Sexual Assault With An Object,0
79352,2003,Shoplifting,17
79353,2003,Simple Assault,1530
79354,2003,Sodomy,1
79355,2003,Statutory Rape,0
79356,2003,Stolen Property Offenses,3
79357,2003,Theft From Building,26
79358,2003,Theft From Coin-Operated Machine or Device,1
79359,2003,Theft From Motor Vehicle,31
79360,2003,Theft of Motor Vehicle Parts or Accessories,7
79361,2003,Weapon Law Violations,22
79362,2003,Welfare Fraud,0
79363,2003,Wire Fraud,1
79364,2004,Aggravated Assault,763
79365,2004,All Other Larceny,66
79366,2004,Animal Cruelty,0
79367,2004,Arson,43
79368,2004,Assisting or Promoting Prostitution,0
79369,2004,Betting/Wagering,0
79370,2004,Bribery,0
79371,2004,Burglary/Breaking & Entering,143
79372,2004,Counterfeiting/Forgery,5
79373,2004,Credit Card/Automated Teller Machine Fraud,5
79374,2004,Destruction/Damage/Vandalism of Property,2826
79375,2004,Drug Equipment Violations,4
79376,2004,Drug/Narcotic Violations,32
79377,2004,Embezzlement,4
79378,2004,Extortion/Blackmail,2
79379,2004,False Pretenses/Swindle/Confidence Game,9
79380,2004,Fondling,6
79381,2004,Hacking/Computer Invasion,0
79382,2004,"Human Trafficking, Commercial Sex Acts",0
79383,2004,Identity Theft,0
79384,2004,Impersonation,4
79385,2004,Incest,0
79386,2004,Intimidation,2290
79387,2004,Kidnapping/Abduction,4
79388,2004,Motor Vehicle Theft,13
79389,2004,Murder and Nonnegligent Manslaughter,6
79390,2004,Negligent Manslaughter,0
79391,2004,Not Specified,26
79392,2004,Pocket-picking,0
79393,2004,Pornography/Obscene Material,2
79394,2004,Prostitution,1
79395,2004,Purchasing Prostitution,0
79396,2004,Purse-snatching,1
79397,2004,Rape,5
79398,2004,Robbery,114
79399,2004,Sexual Assault With An Object,0
79400,2004,Shoplifting,14
79401,2004,Simple Assault,1453
79402,2004,Sodomy,4
79403,2004,Statutory Rape,0
79404,2004,Stolen Property Offenses,5
79405,2004,Theft From Building,30
79406,2004,Theft From Coin-Operated Machine or Device,1
79407,2004,Theft From Motor Vehicle,18
79408,2004,Theft of Motor Vehicle Parts or Accessories,13
79409,2004,Weapon Law Violations,18
79410,2004,Welfare Fraud,0
79411,2004,Wire Fraud,0
79412,2005,Aggravated Assault,849
79413,2005,All Other Larceny,93
79414,2005,Animal Cruelty,0
79415,2005,Arson,42
79416,2005,Assisting or Promoting Prostitution,0
79417,2005,Betting/Wagering,0
79418,2005,Bribery,0
79419,2005,Burglary/Breaking & Entering,136
79420,2005,Counterfeiting/Forgery,8
79421,2005,Credit Card/Automated Teller Machine Fraud,4
79422,2005,Destruction/Damage/Vandalism of Property,2661
79423,2005,Drug Equipment Violations,7
79424,2005,Drug/Narcotic Violations,45
79425,2005,Embezzlement,0
79426,2005,Extortion/Blackmail,2
79427,2005,False Pretenses/Swindle/Confidence Game,15
79428,2005,Fondling,6
79429,2005,Hacking/Computer Invasion,0
79430,2005,"Human Trafficking, Commercial Sex Acts",0
79431,2005,Identity Theft,0
79432,2005,Impersonation,2
79433,2005,Incest,0
79434,2005,Intimidation,2095
79435,2005,Kidnapping/Abduction,3
79436,2005,Motor Vehicle Theft,18
79437,2005,Murder and Nonnegligent Manslaughter,6
79438,2005,Negligent Manslaughter,1
79439,2005,Not Specified,32
79440,2005,Pocket-picking,4
79441,2005,Pornography/Obscene Material,0
79442,2005,Prostitution,2
79443,2005,Purchasing Prostitution,0
79444,2005,Purse-snatching,2
79445,2005,Rape,3
79446,2005,Robbery,135
79447,2005,Sexual Assault With An Object,2
79448,2005,Shoplifting,14
79449,2005,Simple Assault,1357
79450,2005,Sodomy,2
